Name,State,Code,2024 estimate,2020 census,area,density,coordinates
New York,NY,NYC,"8,478,072","8,804,190",300.5,"29,298",40.66°N 73.94°W
Los Angeles,CA,LAX,"3,878,704","3,898,747",469.5,"8,304",34.02°N 118.41°W
Chicago,IL,CHI,"2,721,308","2,746,388",227.7,"12,061",41.84°N 87.68°W
Houston,TX,HOU,"2,390,125","2,304,580",640.4,"3,599",29.79°N 95.39°W
Phoenix,AZ,PHO,"1,673,164","1,608,139",518,"3,105",33.57°N 112.09°W
Philadelphia,PA,PHI,"1,573,916","1,603,797",134.4,"11,933",40.01°N 75.13°W
San Antonio,TX,SAN,"1,526,656","1,434,625",498.8,"2,876",29.46°N 98.52°W
San Diego,CA,DIE,"1,404,452","1,386,932",325.9,"4,256",32.81°N 117.14°W
Dallas,TX,DAL,"1,326,087","1,304,379",339.6,"3,841",32.79°N 96.77°W
Jacksonville,FL,JAX,"1,009,833","949,611",747.3,"1,271",30.34°N 81.66°W
Fort Worth,TX,FTW,"1,008,106","918,915",347.3,"2,646",32.78°N 97.35°W
San Jose,CA,SJS,"997,368","1,013,240",178.3,"5,683",37.30°N 121.81°W
Austin,TX,AUS,"993,588","961,855",319.9,"3,007",30.30°N 97.75°W
Charlotte,NC,CLT,"943,476","874,579",308.3,"2,837",35.21°N 80.83°W
Columbus,OH,CLH,"933,263","905,748",220,"4,117",39.99°N 82.99°W
Indianapolis,IN,IND,"891,484","887,642",361.6,"2,455",39.78°N 86.15°W
San Francisco,CA,SFO,"827,526","873,965",46.9,"18,635",37.73°N 123.03°W
Seattle,WA,SEA,"780,995","737,015",83.8,"8,795",47.62°N 122.35°W
Denver,CO,DEN,"729,019","715,522",153.1,"4,674",39.76°N 104.88°W
Oklahoma City,OK,OKC,"712,919","681,054",606.2,"1,123",35.47°N 97.51°W
Nashville,TN,NAS,"704,963","689,447",475.8,"1,449",36.17°N 86.79°W
Washington,DC,WAS,"702,250","689,545",61.1,"11,286",38.90°N 77.02°W
El Paso,TX,ELP,"681,723","678,815",258.4,"2,627",31.85°N 106.43°W
Las Vegas,NV,LVN,"678,922","641,903",141.8,"4,527",36.23°N 115.26°W
Boston,MA,BOS,"673,458","675,647",48.3,"13,989",42.34°N 71.02°W
Detroit,MI,DET,"645,705","639,111",138.7,"4,608",42.38°N 83.10°W
Louisville,KY,LOU,"640,796","633,045",324.9,"1,948",38.17°N 85.65°W
Portland,OR,POR,"635,749","652,503",133.5,"4,888",45.54°N 122.65°W
Memphis,TN,MEM,"610,919","633,104",297,"2,132",35.11°N 89.97°W
Baltimore,MD,BAL,"568,271","585,708",80.9,"7,240",39.30°N 76.61°W
Milwaukee,WI,MIL,"563,531","577,222",96.2,"6,000",43.06°N 87.97°W
Albuquerque,NM,ABQ,"560,326","564,559",187.3,"3,014",35.10°N 106.65°W
Tucson,AZ,TUC,"554,013","542,629",241,"2,252",32.15°N 110.87°W
Fresno,CA,FNO,"550,105","542,107",115.2,"4,706",36.78°N 119.79°W
Sacramento,CA,SAC,"535,798","524,943",98.6,"5,324",38.57°N 121.47°W
Atlanta,GA,ATL,"520,070","498,715",135.3,"3,686",33.76°N 84.42°W
Mesa,AZ,MES,"517,151","504,258",138.7,"3,636",33.40°N 111.72°W
Kansas City,MO,KCM,"516,032","508,090",314.7,"1,615",39.12°N 94.56°W
Raleigh,NC,RAL,"499,825","467,665",147.1,"3,179",35.83°N 78.64°W
